wkt_geom,SSC_CODE,SSC_NAME,CONF_VALUE,SQKM
POINT(144.356151 -38.159381),21234,South Geelong,Good,0.662646268
POINT(145.087180 -37.768885),20204,Bulleen,Very good,6.671084058
POINT(144.870898 -37.830178),21235,South Kingsville,Very good,0.731174627
POINT(144.496405 -37.476395),20205,Bullengarook,Very good,70.35188205
POINT(144.956973 -37.833409),21236,South Melbourne,Very good,2.459794056
POINT(145.083637 -37.631663),21237,South Morang,Very good,21.45188901
POINT(145.946428 -38.094150),20207,Buln Buln,Acceptable,22.05541021
POINT(146.011376 -38.072286),20208,Buln Buln East,Very good,23.16685484
POINT(144.949324 -37.825320),21239,South Wharf,Poor,0.457639407
POINT(144.991484 -37.839174),21240,South Yarra,Very good,3.649493951
POINT(144.964250 -37.825215),21241,Southbank,Very good,1.262327329
POINT(144.887836 -37.829949),21242,Spotswood,Very good,3.178241654
POINT(145.059671 -37.698249),20212,Bundoora (Vic.),Very good,16.87847566
POINT(143.983854 -37.550003),20213,Bungaree (Vic.),Poor,43.78594696
POINT(144.029925 -37.501999),21244,Springbank,Very poor,87.24984182
POINT(143.900268 -37.652200),20214,Buninyong,Very good,23.60398115
POINT(145.157856 -37.945696),21246,Springvale (Vic.),Very good,11.10578013
POINT(145.725096 -38.107112),20216,Bunyip,Very good,33.16517224
POINT(145.147862 -37.970845),21247,Springvale South,Very good,4.559806203
POINT(145.017521 -37.829639),20217,Burnley,Very good,1.071211789
POINT(144.804959 -37.745098),21248,St Albans (Vic.),Very good,12.78749552
POINT(144.753007 -37.749370),20218,Burnside (Vic.),Very good,2.513361226
POINT(144.392070 -38.188018),21249,St Albans Park,Very good,2.084468953
POINT(144.755594 -37.732422),20219,Burnside Heights,Very good,2.027921588
POINT(145.287380 -37.583255),21250,St Andrews (Vic.),Very good,39.78992644
POINT(144.831154 -38.419961),21251,St Andrews Beach,Very good,3.078817762
POINT(145.111381 -37.849572),20222,Burwood (Vic.),Very good,6.033680712
POINT(145.129555 -37.689516),21253,St Helena,Very good,1.63865002
POINT(145.150416 -37.853586),20223,Burwood East,Very good,4.262350459
POINT(144.981640 -37.863821),21255,St Kilda (Vic.),Very good,3.179438475
POINT(145.706991 -37.422093),20225,Buxton (Vic.),Poor,1.293051586
POINT(145.002163 -37.866813),21256,St Kilda East,Very good,2.255655497
POINT(144.971248 -37.857974),21257,St Kilda West,Very good,0.528717343
POINT(144.707738 -38.185638),21258,St Leonards (Vic.),Very good,5.526350871
POINT(144.787806 -37.759313),20230,Cairnlea,Very good,4.404986678
POINT(144.761134 -37.676275),20231,Calder Park,Very poor,2.691410303
POINT(145.537425 -38.233515),20232,Caldermeade,Poor,60.3576306
POINT(145.380952 -37.579749),21263,Steels Creek,Very good,30.21322109
POINT(145.256360 -37.220099),21267,Strath Creek,Poor,183.981901
POINT(145.074017 -37.838442),20237,Camberwell (Vic.),Good,7.291566484
POINT(144.959560 -37.664175),20239,Campbellfield,Very good,12.3926562
POINT(144.200993 -37.091417),20240,Campbells Creek,Good,8.295455894
POINT(145.280948 -37.533610),21271,Strathewen,Very good,30.80474813
POINT(144.917033 -37.733246),21274,Strathmore (Vic.),Very good,3.453395375
POINT(145.311264 -38.211435),20244,Cannons Creek,Good,1.263215108
POINT(144.896882 -37.713348),21275,Strathmore Heights,Very good,0.691242907
POINT(145.075778 -37.824320),20245,Canterbury (Vic.),Good,3.027267161
POINT(145.868903 -38.346905),21277,Strzelecki (Vic.),Poor,71.58178162
POINT(145.613804 -38.671703),20247,Cape Paterson,Very good,1.417406696
POINT(144.971250 -37.118309),21278,Sugarloaf Creek,Poor,186.7345322
POINT(144.890983 -38.466621),20248,Cape Schanck,Good,4.561159414
POINT(145.344075 -38.542848),20249,Cape Woolamai,Very good,6.117249288
POINT(144.714948 -37.547079),21280,Sunbury,Very good,132.2228937
POINT(145.262691 -38.492201),21281,Sunset Strip (Vic.),Very good,1.101282448
POINT(144.834252 -37.789322),21282,Sunshine (Vic.),Very good,4.7318584
POINT(144.836189 -37.763929),21283,Sunshine North,Very good,8.022928529
POINT(144.811089 -37.798340),21284,Sunshine West,Very good,9.647751997
POINT(145.287743 -38.508929),21285,Surf Beach (Vic.),Poor,1.600108262
POINT(145.420243 -38.124979),20255,Cardinia,Acceptable,47.02857257
POINT(145.098185 -37.826924),21286,Surrey Hills,Very good,4.372811026
POINT(144.527530 -37.272142),20258,Carlsruhe,Very poor,65.58171538
POINT(144.968419 -37.800421),20259,Carlton (Vic.),Very good,1.696310361
POINT(144.968488 -37.786606),20260,Carlton North,Very good,1.870962821
POINT(145.055898 -37.893391),20261,Carnegie,Very good,3.804657494
POINT(144.765305 -37.699709),21292,Sydenham (Vic.),Very good,3.559937691
POINT(145.715858 -37.334597),21293,Taggerty,Very good,93.74659067
POINT(144.737188 -37.734512),20263,Caroline Springs,Very good,8.337390479
POINT(145.127994 -38.076718),20265,Carrum,Very good,1.555448069
POINT(145.175794 -38.092778),20266,Carrum Downs,Very good,20.3077626
POINT(145.418451 -37.521429),20267,Castella,Acceptable,26.27180481
POINT(145.151842 -37.126675),21299,Tallarook,Acceptable,219.3768697
POINT(145.651829 -38.194615),20271,Catani,Very good,34.17655298
POINT(145.026337 -37.884064),20273,Caulfield,Very good,1.470230324
POINT(145.042006 -37.881233),20274,Caulfield East,Very good,1.258465063
POINT(145.021587 -37.872048),20275,Caulfield North,Very good,4.201915447
POINT(144.349298 -37.140503),21306,Taradale (Vic.),Very good,46.87333311
POINT(145.024924 -37.894667),20276,Caulfield South,Very good,3.272058669
POINT(144.677913 -37.830812),21308,Tarneit,Very good,26.21056976
POINT(144.272787 -38.164549),20278,Ceres,Very good,12.42800639
POINT(145.100145 -37.882268),20279,Chadstone,Very good,3.081514271
POINT(145.879097 -38.702307),21311,Tarwin Lower,Poor,176.3911598
POINT(145.121400 -38.049714),20281,Chelsea,Very good,2.625084004
POINT(145.134238 -38.040843),20282,Chelsea Heights,Very good,3.195474236
POINT(145.061523 -37.963413),20283,Cheltenham (Vic.),Very good,10.12164075
POINT(144.253254 -37.092515),20286,Chewton,Poor,52.49188068
POINT(145.891340 -37.233443),21318,Taylor Bay,Poor,42.53982905
POINT(144.752839 -37.715225),21319,Taylors Hill,Very good,4.590850553
POINT(145.314315 -37.738602),20289,Chirnside Park,Very good,22.20266183
